"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"08.01.2023 06:00 - 08.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4119","n/e","n/e"
"08.01.2023 07:00 - 08.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4127","n/e","n/e"
"08.01.2023 08:00 - 08.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4126","n/e","n/e"
"08.01.2023 09:00 - 08.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4108","n/e","n/e"
"08.01.2023 10:00 - 08.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","3978","n/e","n/e"
"08.01.2023 11:00 - 08.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3760","n/e","n/e"
"08.01.2023 12:00 - 08.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3552","n/e","n/e"
"08.01.2023 13:00 - 08.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","3333","n/e","n/e"
"08.01.2023 14:00 - 08.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3214","n/e","n/e"
"08.01.2023 15:00 - 08.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","3159","n/e","n/e"
"08.01.2023 16:00 - 08.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","3183","n/e","n/e"
"08.01.2023 17:00 - 08.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","3254","n/e","n/e"
"08.01.2023 18:00 - 08.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","3388","n/e","n/e"
"08.01.2023 19:00 - 08.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","3552","n/e","n/e"
"08.01.2023 20:00 - 08.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","3690","n/e","n/e"
"08.01.2023 21:00 - 08.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3785","n/e","n/e"
"08.01.2023 22:00 - 08.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3832","n/e","n/e"
"08.01.2023 23:00 - 09.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3847","n/e","n/e"
"09.01.2023 00:00 - 09.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","3821","n/e","n/e"
"09.01.2023 01:00 - 09.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","3998","n/e","n/e"
"09.01.2023 02:00 - 09.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4039","n/e","n/e"
"09.01.2023 03:00 - 09.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4134","n/e","n/e"
"09.01.2023 04:00 - 09.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4184","n/e","n/e"
"09.01.2023 05:00 - 09.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4244","n/e","n/e"
"09.01.2023 06:00 - 09.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","4377","n/e","n/e"
"09.01.2023 07:00 - 09.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","4564","n/e","n/e"
"09.01.2023 08:00 - 09.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","4681","n/e","n/e"
"09.01.2023 09:00 - 09.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","4719","n/e","n/e"
"09.01.2023 10:00 - 09.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","4690","n/e","n/e"
"09.01.2023 11:00 - 09.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","4636","n/e","n/e"
